정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
동탄역(서측),55398,205,경기고속차고지 - 경기고속차고지,2024-05,일반인,0,0,0,0,0,0,39,107,51,198,20,203,16,48,0,0,14,46,38,96,60,87,40,92,9,2,0,0,174,136,61,73,147,58,61,39,0,0,0,0,0,0,0,0,0,0,0,0,
동탄역(서측),55398,205,경기고속차고지 - 경기고속차고지,2024-05,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,10,0,0,0,0,1,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
동탄역(서측),55398,205,경기고속차고지 - 경기고속차고지,2024-05,청소년,0,0,0,0,0,0,1,13,6,7,0,4,0,0,0,0,0,0,0,1,1,4,0,18,1,0,0,0,8,20,1,2,8,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,
동탄역(서측),55398,205,경기고속차고지 - 경기고속차고지,2024-05,경로,0,0,0,0,0,0,4,8,20,8,0,7,2,6,0,0,1,4,17,8,8,4,15,1,0,0,0,0,11,2,9,1,11,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,
동탄역(서측),55398,205,경기고속차고지 - 경기고속차고지,2024-05,장애인,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
동탄역(서측),55398,205,경기고속차고지 - 경기고속차고지,2024-05,국가유공자,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
동탄역(서측),55398,39,동탄물류단지북측 - 동탄물류단지북측,2024-05,일반인,0,0,0,0,23,33,1,0,34,5,9,5,1,1,11,10,6,8,4,2,0,0,25,8,43,22,0,0,71,60,0,0,27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
동탄역(서측),55398,39,동탄물류단지북측 - 동탄물류단지북측,2024-05,청소년,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
동탄역(서측),55398,39,동탄물류단지북측 - 동탄물류단지북측,2024-05,경로,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
동탄역(서측),55398,39,동탄물류단지북측 - 동탄물류단지북측,2024-05,장애인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
동탄역(서측),55398,45,한숲3단지 - 한숲4단지,2024-05,일반인,0,0,0,0,54,141,106,610,76,240,51,402,81,226,51,109,74,134,87,94,74,72,62,43,168,70,243,108,319,113,316,97,286,40,176,38,222,65,0,0,0,0,0,0,0,0,0,0,
동탄역(서측),55398,45,한숲3단지 - 한숲4단지,2024-05,어린이,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,1,3,0,1,1,2,0,2,1,2,4,0,1,0,1,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,
동탄역(서측),55398,45,한숲3단지 - 한숲4단지,2024-05,청소년,0,0,0,0,0,2,32,5,6,5,2,21,2,16,8,3,6,29,7,18,4,9,3,9,16,14,11,42,26,11,13,6,27,7,13,1,12,3,0,0,0,0,0,0,0,0,0,0,
동탄역(서측),55398,45,한숲3단지 - 한숲4단지,2024-05,경로,0,0,0,0,35,9,0,9,5,7,1,22,6,9,12,7,9,4,9,14,16,9,2,2,17,11,8,20,7,5,3,9,3,0,6,0,9,0,0,0,0,0,0,0,0,0,0,0,
동탄역(서측),55398,45,한숲3단지 - 한숲4단지,2024-05,장애인,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,2,1,0,2,2,0,1,0,12,0,3,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
동탄역(서측),55398,45,한숲3단지 - 한숲4단지,2024-05,국가유공자,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
동탄역(서측),55398,7-1A,동탄2차고지 - 동탄2차고지,2024-05,일반인,0,0,0,0,0,0,20,96,28,194,23,158,28,243,53,232,35,150,51,130,55,96,109,90,120,135,124,162,190,173,246,126,210,102,123,100,137,88,77,69,93,46,41,12,0,1,0,0,
동탄역(서측),55398,7-1A,동탄2차고지 - 동탄2차고지,2024-05,어린이,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,10,1,8,5,2,2,1,2,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,
동탄역(서측),55398,7-1A,동탄2차고지 - 동탄2차고지,2024-05,청소년,0,0,0,0,0,0,8,0,1,0,1,1,2,8,0,6,4,5,0,6,2,3,6,21,6,25,4,40,11,1,12,13,4,1,3,3,5,1,7,5,2,3,3,1,0,0,0,0,
동탄역(서측),55398,7-1A,동탄2차고지 - 동탄2차고지,2024-05,경로,0,0,0,0,0,0,0,2,0,3,1,3,27,2,11,7,2,3,6,4,7,8,13,10,10,2,14,1,5,4,6,1,6,0,5,0,5,0,1,0,2,0,0,0,0,0,0,0,
