정류장번호,정류장명,위도,경도,정보수집일,모바일단축번호,도시코드,도시명,관리도시명,도로명 주소
GGB233000719,쌍학리,37.24825,126.89245,2023-10-16,37620,31240,경기도 화성시,경기,경기 화성시 비봉면 양노리 290-3
GGB233000720,구포리과수원,37.2394,126.8805167,2023-10-16,37200,31240,경기도 화성시,경기,경기 화성시 비봉면 양노리 287-1
GGB233000721,비봉중고등학교,37.2368667,126.8739,2023-10-16,37186,31240,경기도 화성시,경기,경기 화성시 비봉면 쌍학리 265-3
GGB233000722,비봉초등학교후문,37.2362167,126.8682333,2023-10-16,37171,31240,경기도 화성시,경기,경기 화성시 비봉면 양노리 254-2
GGB233000723,천산아파트,37.2364667,126.8659833,2023-10-16,37169,31240,경기도 화성시,경기,경기 화성시 비봉면 구포리 산 7
GGB233000724,삼화리,37.2362,126.8637167,2023-10-16,37162,31240,경기도 화성시,경기,경기 화성시 남양읍 북양리 253-4
GGB233000725,양노3리,37.22685,126.8582167,2023-10-16,37153,31240,경기도 화성시,경기,경기 화성시 남양읍 북양리 671
GGB233000726,북양1리.염티고개,37.2220833,126.8398333,2023-10-16,36043,31240,경기도 화성시,경기,경기 화성시 비봉면 양노리 292-5
GGB233000727,북양1통.봉림사,37.21925,126.8321,2023-10-16,36035,31240,경기도 화성시,경기,경기 화성시 남양읍 북양리 699
GGB233000728,루나포레아파트,37.2152,126.8308833,2023-10-16,36029,31240,경기도 화성시,경기,경기 화성시 비봉면 양노리 622-8
GGB233000729,남양읍행정복지센터,37.2115167,126.8228,2023-10-16,36025,31240,경기도 화성시,경기,경기 화성시 남양읍 남양리 2409
GGB233000730,남양사거리,37.2091333,126.81905,2023-10-16,36019,31240,경기도 화성시,경기,경기 화성시 남양읍 남양리 2409
GGB233000731,우림아파트,37.2054833,126.80585,2023-10-16,36009,31240,경기도 화성시,경기,경기 화성시 남양읍 남양리 318-1
GGB233000732,남양육리.남양1동,37.2039,126.8015333,2023-10-16,36008,31240,경기도 화성시,경기,경기 화성시 마도면 두곡리 495-4
GGB233000733,쌍송리입구.은장고개,37.2022,126.7890667,2023-10-16,37115,31240,경기도 화성시,경기,경기 화성시 남양읍 남양리 437-6
GGB233000734,두곡리,37.2048,126.7841667,2023-10-16,37110,31240,경기도 화성시,경기,경기 화성시 마도면 두곡리 312-1
GGB233000735,재래시장.마도삼거리,37.2063,126.7800667,2023-10-16,37107,31240,경기도 화성시,경기,경기 화성시 마도면 슬항리 215-17
GGB233000736,마도사거리,37.2069,126.77425,2023-10-16,37106,31240,경기도 화성시,경기,경기 화성시 마도면 두곡리 350-20
GGB233000737,외국인보호소,37.2079667,126.76655,2023-10-16,37103,31240,경기도 화성시,경기,경기 화성시 마도면 두곡리 536-2
GGB233000738,구리섬휴게소,37.2084833,126.7647,2023-10-16,37102,31240,경기도 화성시,경기,경기 화성시 마도면 슬항리 214-18
GGB233000739,삼존리,37.2111833,126.75905,2023-10-16,37099,31240,경기도 화성시,경기,경기 화성시 송산면 삼존리 859
GGB233000740,돼지고개.삼존리물미,37.2114,126.7537667,2023-10-16,37098,31240,경기도 화성시,경기,경기 화성시 서신면 상안리 56-2
GGB233000741,신흥사,37.1898167,126.7135833,2023-10-16,37062,31240,경기도 화성시,경기,경기 화성시 서신면 상안리 901
GGB233000742,상안1리,37.1851,126.7098167,2023-10-16,37059,31240,경기도 화성시,경기,경기 화성시 송산면 삼존리 780-9
GGB233000743,상안1.2리,37.18275,126.7066667,2023-10-16,37049,31240,경기도 화성시,경기,경기 화성시 서신면 상안리 353-2
GGB233000744,상안2리.SK주유소,37.1790167,126.7080333,2023-10-16,37057,31240,경기도 화성시,경기,경기 화성시 서신면 상안리 549-4
GGB233000745,장외리,37.1741833,126.6808333,2023-10-16,37021,31240,경기도 화성시,경기,경기 화성시 서신면 장외리 279-8
GGB233000746,장외리.지긋말,37.1684667,126.6785,2023-10-16,37017,31240,경기도 화성시,경기,경기 화성시 서신면 장외리 517-3
GGB233000747,큰말입구,37.1658667,126.675,2023-10-16,37014,31240,경기도 화성시,경기,경기 화성시 서신면 송교리 865
GGB233000748,송교1리,37.1635,126.6689833,2023-10-16,37013,31240,경기도 화성시,경기,경기 화성시 서신면 송교리 8-6
GGB233000749,개경촌,37.1647167,126.6642833,2023-10-16,37006,31240,경기도 화성시,경기,경기 화성시 서신면 송교리 610
GGB233000750,병점중학교,37.2106,127.0392,2023-10-16,36479,31240,경기도 화성시,경기,경기 화성시 비봉면 삼화리 1133-5
GGB233000751,큰말,37.2496333,126.8483833,2023-10-16,55856,31240,경기도 화성시,경기,경기 화성시 서신면 송교리 426-1
GGB233000752,큰말,37.2497333,126.84815,2023-10-16,55857,31240,경기도 화성시,경기,경기 화성시 비봉면 삼화리 776-18
GGB233000753,제부해수탕,37.1671833,126.659,2023-10-16,36763,31240,경기도 화성시,경기,경기 화성시 병점동 814
GGB233000754,광평삼거리,37.1748167,126.6889167,2023-10-16,37564,31240,경기도 화성시,경기,경기 화성시 서신면 광평리 292-2
GGB233000755,목성머리,37.1731167,126.6972,2023-10-16,37578,31240,경기도 화성시,경기,경기 화성시 서신면 상안리 353-2
GGB233000756,상안1.2리,37.1825833,126.7065,2023-10-16,37048,31240,경기도 화성시,경기,경기 화성시 서신면 상안리 430-4
GGB233000757,상안1리,37.1851167,126.7097,2023-10-16,37058,31240,경기도 화성시,경기,경기 화성시 서신면 상안리 886
GGB233000758,상안리.한국발효,37.1930833,126.7167,2023-10-16,37471,31240,경기도 화성시,경기,경기 화성시 서신면 광평리 194-7
GGB233000759,삼존리자동차성능시험장,37.2108,126.7605167,2023-10-16,37100,31240,경기도 화성시,경기,경기 화성시 송산면 삼존리 769-4
GGB233000760,구리섬휴게소,37.2094667,126.76305,2023-10-16,37101,31240,경기도 화성시,경기,경기 화성시 마도면 슬항리 212-2
GGB233000761,외국인보호소,37.20805,126.7671167,2023-10-16,37104,31240,경기도 화성시,경기,경기 화성시 마도면 슬항리 215-21
GGB233000762,마도사거리,37.20715,126.7746,2023-10-16,37105,31240,경기도 화성시,경기,경기 화성시 마도면 두곡리 350-5
GGB233000763,재래시장.마도삼거리,37.20635,126.7807667,2023-10-16,37108,31240,경기도 화성시,경기,경기 화성시 마도면 두곡리 312-1
GGB233000764,두곡리,37.2055333,126.7831667,2023-10-16,37109,31240,경기도 화성시,경기,경기 화성시 남양읍 남양리 326-2
GGB233000765,남양육리.남양1동,37.2039833,126.8009667,2023-10-16,36007,31240,경기도 화성시,경기,경기 화성시 마도면 두곡리 407-5
GGB233000766,우림아파트,37.20565,126.8061333,2023-10-16,36010,31240,경기도 화성시,경기,경기 화성시 남양읍 남양리 1932-2
GGB233000767,남양성지,37.2075333,126.8154333,2023-10-16,36014,31240,경기도 화성시,경기,경기 화성시 남양읍 남양리 443-5
GGB233000768,남양사거리,37.2093667,126.81905,2023-10-16,36021,31240,경기도 화성시,경기,경기 화성시 남양읍 남양리 2409
GGB233000769,남양읍행정복지센터,37.212,126.8235167,2023-10-16,36026,31240,경기도 화성시,경기,경기 화성시 남양읍 북양리 699
GGB233000770,루나포레아파트,37.2156333,126.8312333,2023-10-16,36030,31240,경기도 화성시,경기,경기 화성시 남양읍 남양리 2409
GGB233000771,북양1통,37.2189833,126.8318,2023-10-16,37776,31240,경기도 화성시,경기,경기 화성시 남양읍 북양리 253-4
GGB233000772,북양1리.염티고개,37.2221333,126.8390333,2023-10-16,36042,31240,경기도 화성시,경기,경기 화성시 남양읍 북양리 79-5
